Name_original,Name,CAS,Norman_SusDat_ID,Norman_matched,Norman_matched_Synonym_Reliability,CAS_RN,DTXSID,Molecular_Formula
deanol benzilate,deanol benzilate,NA,NA,NA,NA,NA,NA,NA
debrisoquin,Debrisoquin,1131-64-2,NS00003334,Name,NA,CAS_RN: 1131-64-2,DTXSID7022885,C10H13N3
Debromohymenialdisine,Debromohymenialdisine,75593-17-8,NS00018630,Name,NA,CAS_RN: 75593-17-8,DTXSID00415332,C11H11N5O2
Decafluorocyclopentane,Decafluorocyclopentane,376-77-2,NS00019034,Name,NA,CAS_RN: 376-77-2,DTXSID10191039,C5F10
"Decahydro-2-hydroxy-2,5,5,8a-tetramethylnaphthalene-1-ethanol.","Decahydro-2-hydroxy-2,5,5,8a-tetramethylnaphthalene-1-ethanol",NA,NA,NA,NA,NA,NA,NA
Decahydro-2-naphthyl 2-methylpropanoate.,Decahydro-2-naphthyl 2-methylpropanoate,NA,NA,NA,NA,NA,NA,NA
Decahydro-2-naphthyl Acetate.,Decahydro-2-naphthyl acetate,10519-11-6,NS00012184,Name,NA,CAS_RN:  10519-11-6,DTXSID4051534,C12H20O2
Decahydro-2-naphthyl methanoate.,Decahydro-2-naphthyl methanoate,NA,NA,NA,NA,NA,NA,NA
"Decahydro-5,5,8a-trimethyl-2-naphthyl Acetate.","Decahydro-5,5,8a-trimethyl-2-naphthyl acetate",24238-95-7,NS00012190,Name,NA,CAS_RN:  24238-95-7,DTXSID2051899,C15H26O2
"Decahydrospiro(furan-2(3H),5-(4,7)methano(5H) indene).","Decahydrospiro(furan-2(3H),5-(4,7)methano(5H) indene)",NA,NA,NA,NA,NA,NA,NA
Decamethylene dibenzoate,Decamethylene dibenzoate,94160-13-1,NS00040197,Name,NA,CAS_RN: 94160-13-1,DTXSID90240892,C24H30O4
decan-4-olide,decan-4-olide,706-14-9,NS00107566,Name,NA,CAS_RN: 706-14-9,NA,C10H18O2
decan-5-olide,decan-5-olide,705-86-2,NS00107565,Name,NA,CAS_RN: 705-86-2,NA,C10H18O2
Decanamide,Decanamide,2319-29-1,NS00014953,Name,NA,CAS_RN: 2319-29-1,NA,C10H21N1O1
N-(3-Aminopropyl)decanamide,"Decanamide, N-(3-aminopropyl)-",73772-40-4,NS00037555,Name_ChemSpider,NA,CAS_RN: 73772-40-4,DTXSID0072774,C13H28N2O1
N-{2-[(2-Hydroxyethyl)amino]ethyl}decanamide,"Decanamide, N-[2-[(2-hydroxyethyl)amino]ethyl]-",56760-63-5,NS00033573,Name_ChemSpider,NA,CAS_RN: 56760-63-5,DTXSID5069126,C14H30N2O2
N-[3-(Dimethylamino)propyl]decanamide,"Decanamide, N-[3-(dimethylamino)propyl]-",22890-11-5,NS00027290,Name_ChemSpider,NA,CAS_RN: 22890-11-5,DTXSID2041830,C15H32N2O1
"1-(2,2-Dimethoxyethoxy)decane","Decane, 1-(2,2-dimethoxyethoxy)-",68480-20-6,NS00036609,Name_ChemSpider,NA,CAS_RN: 68480-20-6,DTXSID2071570,C14H30O3
1-(Vinyloxy)decane.,"Decane, 1-(ethenyloxy)-",765-05-9,NS00012206,Synonyms_ChemSpider,1,CAS_RN:  765-05-9,DTXSID9061095,C12H24O1
1-Iododecane,"Decane, 1-iodo-",2050-77-3,NS00026661,Name_ChemSpider,NA,CAS_RN: 2050-77-3,DTXSID9062142,C10H21I1
1-(Decylsulfanyl)decane,"Decane, 1,1'-thiobis-",693-83-4,NS00036837,Synonyms_ChemSpider,1,CAS_RN: 693-83-4,DTXSID8061006,C20H42S1
"1,1-Dimethoxydecane.","Decane, 1,1-dimethoxy-",7779-41-1,NS00012191,Name_ChemSpider,NA,CAS_RN:  7779-41-1,DTXSID3064803,C12H26O2
"1,10-Dichlorodecane","Decane, 1,10-dichloro-",2162-98-3,NS00021854,Name_ChemSpider,NA,CAS_RN: 2162-98-3,DTXSID9062225,C10H20Cl2
"Decane, 3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-1,10-diiodo-","Decane, 3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-1,10-diiodo-",1813-83-8,NS00018830,Name,NA,CAS_RN: 1813-83-8,DTXSID70880174,C10H8F12I2
"N~1~,N~10~-Bis(3,4-dicyanophenyl)decanediamide","Decanediamide, N,N'-bis(3,4-dicyanophenyl)-",57414-42-3,NS00033719,Name,NA,CAS_RN: 57414-42-3,DTXSID4069183,C26H24N6O2
Decanedinitrile,Decanedinitrile,1871-96-1,NS00026120,Name,NA,CAS_RN: 1871-96-1,DTXSID8062028,C10H16N2
"Decanedioic acid, bis(2-ethoxyethyl) ester","Decanedioic acid, bis(2-ethoxyethyl) ester",624-10-2,NS00022538,Name,NA,CAS_RN: 624-10-2,DTXSID4060781,C18H34O6
"Decanedioic acid, bis(2-mercaptoethyl) ester","Decanedioic acid, bis(2-mercaptoethyl) ester",60642-69-5,NS00034416,Name,NA,CAS_RN: 60642-69-5,DTXSID5069417,C14H26O4S2
"Decanedioic acid, bis(2-methoxyethyl) ester","Decanedioic acid, bis(2-methoxyethyl) ester",71850-03-8,NS00037294,Name,NA,CAS_RN: 71850-03-8,DTXSID60222120,C16H30O6
"Decanedioic acid, bis(phenylmethyl) ester","Decanedioic acid, bis(phenylmethyl) ester",140-24-9,NS00024544,Name,NA,CAS_RN: 140-24-9,DTXSID2059691,C24H30O4
"Decanedioic acid, di-2-propenyl ester","Decanedioic acid, di-2-propenyl ester",3137-00-6,NS00029071,Name,NA,CAS_RN: 3137-00-6,DTXSID9062859,C16H26O4
"Decanedioic acid, didecyl ester","Decanedioic acid, didecyl ester",2432-89-5,NS00027620,Name,NA,CAS_RN: 2432-89-5,DTXSID6062418,C30H58O4
"Decanedioic acid, diisooctyl ester","Decanedioic acid, diisooctyl ester",27214-90-0,NS00021975,Name,NA,CAS_RN: 27214-90-0,DTXSID3067287,C26H50O4
"Decanedioic acid, dinonyl ester","Decanedioic acid, dinonyl ester",4121-16-8,NS00030938,Name,NA,CAS_RN: 4121-16-8,DTXSID0063313,C28H54O4
"Decanedioic acid, ditridecyl ester","Decanedioic acid, ditridecyl ester",2741-62-0,NS00021978,Name,NA,CAS_RN: 2741-62-0,DTXSID7062619,C36H70O4
Decanenitrile.,Decanenitrile,1975-78-6,NS00012192,Name,NA,CAS_RN:  1975-78-6,DTXSID9027449,C10H19N1
"Decanoic acid, 1,2-ethanediylbis(oxy-2,1-ethanediyl) ester","Decanoic acid, 1,2-ethanediylbis(oxy-2,1-ethanediyl) ester",10024-58-5,NS00021420,Name,NA,CAS_RN: 10024-58-5,DTXSID1064900,C26H50O6
"Decanoic acid, 2-[2-[2-[(1-oxooctyl)oxy]ethoxy]ethoxy]ethyl ester","Decanoic acid, 2-[2-[2-[(1-oxooctyl)oxy]ethoxy]ethoxy]ethyl ester",7346-78-3,NS00037521,Name,NA,CAS_RN: 7346-78-3,DTXSID9064637,C24H46O6
2-Octyldecanoic acid,"Decanoic acid, 2-octyl-",619-39-6,NS00034858,Name_ChemSpider,NA,CAS_RN: 619-39-6,DTXSID2060701,C18H36O2
"Decanoic acid, butyl ester","Decanoic acid, butyl ester",30673-36-0,NS00022028,Name,NA,CAS_RN: 30673-36-0,DTXSID4067565,C14H28O2
"Decanoic acid, decyl ester","Decanoic acid, decyl ester",1654-86-0,NS00025416,Name,NA,CAS_RN: 1654-86-0,DTXSID8061848,C20H40O2
"Decanoic acid, dodecyl ester","Decanoic acid, dodecyl ester",42231-50-5,NS00031133,Name,NA,CAS_RN: 42231-50-5,DTXSID4068371,C22H44O2
"Decanoic acid, monoamide with N-(2-aminoethyl)-1,2-ethanediamine","Decanoic acid, monoamide with N-(2-aminoethyl)-1,2-ethanediamine",65308-76-1,NS00035859,Name,NA,CAS_RN: 65308-76-1,DTXSID6070304,C14H31N3O1
"Decanoic acid, octadecyl ester","Decanoic acid, octadecyl ester",34689-06-0,NS00029713,Name,NA,CAS_RN: 34689-06-0,DTXSID3067865,C28H56O2
"Decanoic acid, octyl ester","Decanoic acid, octyl ester",2306-92-5,NS00027342,Name,NA,CAS_RN: 2306-92-5,DTXSID2062321,C18H36O2
"Decanoic acid, tetradecyl ester","Decanoic acid, tetradecyl ester",41927-69-9,NS00031069,Name,NA,CAS_RN: 41927-69-9,DTXSID1068356,C24H48O2
Decanoic anhydride,Decanoic anhydride,2082-76-0,NS00026749,Name,NA,CAS_RN: 2082-76-0,DTXSID80174935,C20H38O3
Decanophenone,Decanophenone,6048-82-4,NS00015340,Name,NA,CAS_RN: 6048-82-4,DTXSID5064093,C16H24O1
decanoyl chloride,decanoyl chloride,112-13-0,NS00106330,Name,NA,CAS_RN: 112-13-0,NA,C10H19ClO
Decanoylcarnitine,Decanoylcarnitine,1492-27-9,NS00015028,Name,NA,CAS_RN: 1492-27-9,NA,C17H34N1O4
decarbamoylgonyautoxin-2,decarbamoylgonyautoxin-2,86996-87-4,NS00008211,Name,NA,CAS_RN: 86996-87-4,NA,C14H12O2
decarbamoylgonyautoxin-3,decarbamoylgonyautoxin-3,87038-53-7,NS00006131,Name,NA,CAS_RN: 87038-53-7,NA,C9H16N6O7S1
decarbamoylneosaxitoxin,decarbamoylneosaxitoxin,68683-58-9,NS00002464,Name,NA,CAS_RN: 68683-58-9,NA,C20H43O4P1
decarbamoylsaxitoxin,Decarbamylsaxitoxin,58911-04-9,NS00003800,Name,NA,CAS_RN: 58911-04-9,DTXSID70207660,C9H16N6O3
DECETH-4,DECETH-4,26183-52-8,NS00013548,Name,NA,CAS_RN: 26183-52-8,NA,C12H26O2
DECETH-6 PHOSPHATE,DECETH-6 PHOSPHATE,NA,NA,NA,NA,NA,NA,NA
Decoquinate,Decoquinate,18507-89-6,NS00010345,Name,NA,CAS_RN: 18507-89-6,DTXSID5046851,C24H35N1O5
Decyl 2-methylpropanoate,Decyl 2-methylpropanoate,5454-22-8,NS00033120,Name,NA,CAS_RN: 5454-22-8,DTXSID7041833,C14H28O2
Decyl 2-nitrobenzoate,Decyl 2-nitrobenzoate,6500-28-3,NS00035775,Name,NA,CAS_RN: 6500-28-3,DTXSID00215319,C17H25N1O4
Decyl 3-mercaptopropionate,Decyl 3-mercaptopropionate,45180-55-0,NS00031494,Name,NA,CAS_RN: 45180-55-0,DTXSID40196411,C13H26O2S1
"Decyl 3,4,5-trihydroxybenzoate","Decyl 3,4,5-trihydroxybenzoate",19198-75-5,NS00026260,Name,NA,CAS_RN: 19198-75-5,DTXSID10172742,C17H26O5
Decyl 5-oxo-L-prolinate,Decyl 5-oxo-L-prolinate,37673-23-7,NS00030242,Name,NA,CAS_RN: 37673-23-7,DTXSID30191091,C15H27N1O3
Decyl benzoate,Decyl benzoate,36685-97-9,NS00030078,Name,NA,CAS_RN: 36685-97-9,DTXSID40190131,C17H26O2
Decyl chloroformate,Decyl chloroformate,55488-51-2,NS00033327,Name,NA,CAS_RN: 55488-51-2,DTXSID40204065,C11H21Cl1O2
Decyl cyanoacetate,Decyl cyanoacetate,17686-43-0,NS00025815,Name,NA,CAS_RN: 17686-43-0,DTXSID20170198,C13H23N1O2
Decyl cyclohexanecarboxylate,Decyl cyclohexanecarboxylate,93479-48-2,NS00039564,Name,NA,CAS_RN: 93479-48-2,DTXSID20239436,C17H32O2
decyl glucoside,decyl glucoside,41444-55-7,NS00002371,Name,NA,CAS_RN: 41444-55-7,NA,C16H32O6
Decyl heptanoate,Decyl heptanoate,94160-12-0,NS00040196,Name,NA,CAS_RN: 94160-12-0,DTXSID30240891,C17H34O2
Decyl hexanoate,Decyl hexanoate,52363-43-6,NS00032490,Name,NA,CAS_RN: 52363-43-6,DTXSID4068745,C16H32O2
Decyl hexyl adipate,Decyl hexyl adipate,22707-35-3,NS00027242,Name,NA,CAS_RN: 22707-35-3,DTXSID5066821,C22H42O4
Decyl isononyl phthalate,Decyl isononyl phthalate,96507-83-4,NS00040488,Name,NA,CAS_RN: 96507-83-4,DTXSID10242292,C27H44O4
Decyl isooctyl phthalate,Decyl isooctyl phthalate,53363-96-5,NS00032731,Name,NA,CAS_RN: 53363-96-5,DTXSID30201528,C26H42O4
Decyl isoundecyl phthalate,Decyl isoundecyl phthalate,96507-80-1,NS00040485,Name,NA,CAS_RN: 96507-80-1,DTXSID80242289,C29H48O4
decyl methacrylate,Decyl methacrylate,3179-47-3,NS00002768,Name,NA,CAS_RN: 3179-47-3,DTXSID6024915,C14H26O2
Decyl methyl sulphide,Decyl methyl sulphide,22438-39-7,NS00027179,Name,NA,CAS_RN: 22438-39-7,DTXSID60176977,C11H24S1
Decyl nonyl phthalate,Decyl nonyl phthalate,96507-76-5,NS00040482,Name,NA,CAS_RN: 96507-76-5,DTXSID40242285,C27H44O4
Decyl norbornene,Decyl norbornene,134864-19-0,NS00007688,Name,NA,CAS_RN: 134864-19-0,NA,C17H30
Decyl prop-2-enoate,Decyl prop-2-enoate,2156-96-9,NS00019957,Name,NA,CAS_RN: 2156-96-9,DTXSID9044873,C13H24O2
Decyl stearate,Decyl stearate,32509-55-0,NS00029289,Name,NA,CAS_RN: 32509-55-0,DTXSID9067691,C28H56O2
(tetrapropenyl)succinic acid,DECYL SUCCINATE,2530-33-8,NS00013552,Synonyms_ChemSpider,0,CAS_RN: 2530-33-8,NA,C14H26O4
DECYL SUCCINATE,DECYL SUCCINATE,2530-33-8,NS00013552,Name,NA,CAS_RN: 2530-33-8,NA,C14H26O4
Decyl undecyl phthalate,Decyl undecyl phthalate,19295-82-0,NS00026290,Name,NA,CAS_RN: 19295-82-0,DTXSID40172891,C29H48O4
Decylcyclohexane,Decylcyclohexane,1795-16-0,NS00021768,Name,NA,CAS_RN: 1795-16-0,DTXSID8061973,C16H32
decyldimethylamine,decyldimethylamine,1120-24-7,NS00104466,Name,NA,CAS_RN: 1120-24-7,NA,C12H27N
decylhydrogensulfate,decylhydrogensulfate,NA,NA,NA,NA,NA,NA,NA
Decylmalonic acid,Decylmalonic acid,4372-29-6,NS00031361,Name,NA,CAS_RN: 4372-29-6,DTXSID30195918,C13H24O4
decyloxirane,decyloxirane,2855-19-8,NS00106908,Name,NA,CAS_RN: 2855-19-8,NA,C12H24O
Decylthioacetic acid,Decylthioacetic acid,10428-63-4,NS00023291,Name,NA,CAS_RN: 10428-63-4,DTXSID50146366,C12H24O2S1
DEET,DEET,134-62-3,NS00000221,Name,NA,CAS_RN: 134-62-3,DTXSID2021995,C12H17N1O1
DEET-benzoesaure,DEET-benzoesaure,NA,NA,NA,NA,NA,NA,NA
Atrazine-desethyl,Deethylatrazine,6190-65-4,NS00008490,Name_ChemSpider,NA,CAS_RN: 6190-65-4,DTXSID5037494,C6H10Cl1N5
Atrazine-Desethyl,Deethylatrazine,6190-65-4,NS00008490,Name,NA,CAS_RN: 6190-65-4,DTXSID5037494,C6H10Cl1N5
deethylatrazine,Deethylatrazine,6190-65-4,NS00008490,Name,NA,CAS_RN: 6190-65-4,DTXSID5037494,C6H10Cl1N5
Deferasirox,Deferasirox,201530-41-8,NS00000461,Name,NA,CAS_RN: 201530-41-8,DTXSID1048596,C21H15N3O4
deferoxamine,Deferoxamine,70-51-9,NS00007870,Name,NA,CAS_RN: 70-51-9,DTXSID7022887,C25H48N6O8
Deflazacort,Deflazacort,14484-47-0,NS00004176,Name,NA,CAS_RN: 14484-47-0,DTXSID9020378,C25H31N1O6
Degradation-Product,Degradation-Product,NA,NA,NA,NA,NA,NA,NA
(-)-Deguelin,Deguelin,522-17-8,NS00018010,Name_ChemSpider,NA,CAS_RN: 522-17-8,DTXSID10200231,C23H22O6
Dehydroabietic acid,Dehydroabietic acid,1231-75-0,NS00010328,Name,NA,CAS_RN: 1231-75-0,NA,C20H28O2
"(1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthren-1-yl)methanol",Dehydroabietol,3772-55-2,NS00006745,Name_IUPAC,NA,CAS_RN: 3772-55-2,DTXSID80858748,C20H30O1
Dehydroabietylamine,Dehydroabietylamine,1446-61-3,NS00019781,Name,NA,CAS_RN: 1446-61-3,DTXSID2041834,C20H31N1
"3-acetyl-6-methyl-2H-pyran-2,4(3H)-dione",Dehydroacetic acid,520-45-6,NS00003021,Name,NA,CAS_RN: 520-45-6,DTXSID6020014,C8H8O4
Dehydrocholic acid,Dehydrocholic acid,81-23-2,NS00004676,Name,NA,CAS_RN: 81-23-2,DTXSID2022888,C24H34O5
dehydrocostus,dehydrocostus,NA,NA,NA,NA,NA,NA,NA
"dehydrocostus lactone|(3aS,6aR,9aR,9bS)-3,6,9-trimethylidene-3a,4,5,6a,7,8,9a,9b-octahydroazuleno[4,5-b]furan-2-one","dehydrocostus lactone|(3aS,6aR,9aR,9bS)-3,6,9-trimethylidene-3a,4,5,6a,7,8,9a,9b-octahydroazuleno[4,5-b]furan-2-one",NA,NA,NA,NA,NA,NA,NA
Dehydrodoisynolacid = Bisdehydrodoisynolacid,Dehydrodoisynolacid = Bisdehydrodoisynolacid,NA,NA,NA,NA,NA,NA,NA
Dehydroepiandrosterone,Dehydroepiandrosterone,53-43-0,NS00000508,Name,NA,CAS_RN: 53-43-0,DTXSID4020379,C19H28O2
Dehydroepiandrosterone (DHEA),Dehydroepiandrosterone,53-43-0,NS00000508,Name,NA,CAS_RN: 53-43-0,DTXSID4020379,C19H28O2
Dehydroepiandrosterone acetate,Dehydroepiandrosterone acetate,853-23-6,NS00038884,Name,NA,CAS_RN: 853-23-6,DTXSID3020380,C21H30O3
Dehydroisoandrosteon -3-glucuronid,Dehydroisoandrosteon -3-glucuronid,NA,NA,NA,NA,NA,NA,NA
Dehydroxy Ractopamine,Dehydroxy Ractopamine,1246816-72-7,NS00040612,Name,NA,CAS_RN: 1246816-72-7,NA,C18H23N1O2
Atrazine-desisopropyl,Deisopropylatrazine,1007-28-9,NS00000261,Synonyms_ChemSpider,4,CAS_RN: 1007-28-9,DTXSID0037495,C5H8Cl1N5
Atrazine-Desisopropyl,Deisopropylatrazine,1007-28-9,NS00000261,Name,NA,CAS_RN: 1007-28-9,DTXSID0037495,C5H8Cl1N5
Deladroxone,Deladroxone,24356-94-3,NS00027632,Name,NA,CAS_RN: 24356-94-3,DTXSID1022891,C29H36O4
delapril,delapril,83435-66-9,NS00007822,Name,NA,CAS_RN: 83435-66-9,NA,C26H32N2O5
Delergotril,Delergotril,59091-65-5,NS00010473,Name,NA,CAS_RN: 59091-65-5,NA,C17H19N3
Delmadinone,Delmadinone,15262-77-8,NS00024968,Name,NA,CAS_RN: 15262-77-8,DTXSID60165088,C21H25Cl1O3
Delmadinone acetate,Delmadinone acetate,13698-49-2,NS00021003,Name,NA,CAS_RN: 13698-49-2,DTXSID60160018,C23H27Cl1O4
Delphinidin-3-rutinoside,Delphinidin-3-rutinoside,NA,NA,NA,NA,NA,NA,NA
delta-Tocotrienol,delta-Tocotrienol,25612-59-3,NS00027923,Name,NA,CAS_RN: 25612-59-3,DTXSID30180288,C27H40O2
Deltafludrocortisone,Deltafludrocortisone,338-95-4,NS00040613,Name,NA,CAS_RN: 338-95-4,NA,C21H27F1O5
"Deltaandrost-4,9(11)-diene-3,17-dione","Deltaandrost-4,9(11)-diene-3,17-dione",1035-69-4,NS00106204,Name,NA,CAS_RN: 1035-69-4,NA,C19H24O2
Demecycline,Demecycline,987-02-0,NS00011909,Name,NA,CAS_RN: 987-02-0,NA,C21H22N2O8
demelverine,Demelverine,13977-33-8,NS00009718,Name,NA,CAS_RN: 13977-33-8,DTXSID40161164,C17H21N1
Demeton-s,Demeton-S,126-75-0,NS00009445,Name,NA,CAS_RN: 126-75-0,DTXSID9037535,C8H19O3P1S2
Demeton-S-methyl,Demeton-S-methyl,919-86-8,NS00000119,Name,NA,CAS_RN: 919-86-8,DTXSID5037521,C6H15O3P1S2
Demexiptiline,Demexiptiline,24701-51-7,NS00001361,Name,NA,CAS_RN: 24701-51-7,DTXSID40179441,C18H18N2O1
demoxepam,Demoxepam,963-39-3,NS00015681,Name,NA,CAS_RN: 963-39-3,DTXSID4046155,C15H11Cl1N2O2
Demoxepam,Demoxepam,963-39-3,NS00015681,Name,NA,CAS_RN: 963-39-3,DTXSID4046155,C15H11Cl1N2O2
Denatonium benzoate,Denatonium benzoate,3734-33-6,NS00006955,Name,NA,CAS_RN: 3734-33-6,NA,C21H29N2O1
denaverine,Denaverine,3579-62-2,NS00004838,Name,NA,CAS_RN: 3579-62-2,DTXSID10189315,C24H33N1O3
Denaverine hydrochloride,Denaverine hydrochloride,3321-06-0,NS00029437,Name,NA,CAS_RN: 3321-06-0,DTXSID60186859,C24H33N1O3
Deoxy-5-methylcytidylic acid,Deoxy-5-methylcytidylic acid,2498-41-1,NS00027782,Name,NA,CAS_RN: 2498-41-1,DTXSID90179693,C10H16N3O7P1
Deoxycholic acid,Deoxycholic acid,83-44-3,NS00014820,Name,NA,CAS_RN: 83-44-3,DTXSID0042662,C24H40O4
Deoxycorticosterone 21-glucoside,Deoxycorticosterone 21-glucoside,4319-56-6,NS00014821,Name,NA,CAS_RN: 4319-56-6,NA,C27H40O8
Deoxycorticosterone acetate,Deoxycorticosterone acetate,56-47-3,NS00015396,Name,NA,CAS_RN: 56-47-3,DTXSID6022894,C23H32O4
Deoxycytidine triphosphate (DCTP),Deoxycytidine triphosphate (DCTP),2056-98-6,NS00014816,Name,NA,CAS_RN: 2056-98-6,NA,C9H16N3O13P3
Deoxyepinephrine,Deoxyepinephrine,501-15-5,NS00032005,Name,NA,CAS_RN: 501-15-5,DTXSID10198205,C9H13N1O2
Deoxyglucose,Deoxyglucose,154-17-6,NS00025010,Name,NA,CAS_RN: 154-17-6,DTXSID1037648,C6H12O5
Deoxyinosine triphosphate (dITP),Deoxyinosine triphosphate (dITP),NA,NA,NA,NA,NA,NA,NA
Deoxylimonin,Deoxylimonin,989-23-1,NS00015861,Name,NA,CAS_RN: 989-23-1,NA,C26H30O7
Deoxynivalenol,Deoxynivalenol,51481-10-8,NS00098582,Name,NA,CAS_RN: 51481-10-8,DTXSID3020382,C15H20O6
DEP_178.1226_15.3|N-formylmethamphetamine|N-methyl-N-(1-phenylpropan-2-yl)formamide,DEP_178.1226_15.3|N-formylmethamphetamine|N-methyl-N-(1-phenylpropan-2-yl)formamide,NA,NA,NA,NA,NA,NA,NA
Deprenyl,Deprenyl,2323-36-6,NS00114150,Name,NA,CAS_RN: 2323-36-6,DTXSID60860142,C13H17N
Deptropine,Deptropine,604-51-3,NS00034356,Name,NA,CAS_RN: 604-51-3,DTXSID5048556,C23H27N1O1
Derquantel,Derquantel,NA,NS00017222,Name,NA,NA,NA,C28H37N3O4
DErySphingosine,DErySphingosine,NA,NA,NA,NA,NA,NA,NA
Des(2-hydroxyethyl)opipramol,Des(2-hydroxyethyl)opipramol,4346-38-7,NS00015397,Name,NA,CAS_RN: 4346-38-7,NA,C21H25N3
Desaspidin BB,Desaspidin BB,114-43-2,NS00023712,Name,NA,CAS_RN: 114-43-2,DTXSID6074461,C24H30O8
Deschloracetylmetolachlor,Deschloracetylmetolachlor,786711-55-5,NS00040813,Name,NA,CAS_RN: 786711-55-5,NA,C13H21N1O1
Deschloracetylmetolachlorpropanol,Deschloracetylmetolachlorpropanol,NA,NA,NA,NA,NA,NA,NA
Deschloralachlor,Deschloralachlor,NA,NA,NA,NA,NA,NA,NA
Deschlormetolachlor,Deschlormetolachlor,126605-22-9,NS00040816,Name,NA,CAS_RN: 126605-22-9,NA,C15H23N1O2
Deschloro-N-ethyl-ketamine,Deschloro-N-ethyl-ketamine,NA,NS00017414,Name,NA,NA,NA,C14H19N1O1
Deschloro W-19,Deschloro W-19,NA,NS00018237,Name,NA,NA,NA,C19H23N3O2S1
Deschloroketamine,Deschloroketamine,4631-27-0,NS00018082,Name,NA,NA,NA,C13H17N1O1
deserpidine,Deserpidine,131-01-1,NS00008754,Name,NA,CAS_RN: 131-01-1,DTXSID8020383,C32H38N2O8
Desethyl,Desethyl,NA,NA,NA,NA,NA,NA,NA
Sebuthylazine-desethyl,Desethylsebutylazine,37019-18-4,NS00004702,Synonyms_ChemSpider,4,CAS_RN: 37019-18-4,DTXSID20407557,C7H12Cl1N5
Desethylterbutylazin,Desethylterbutylazin,30125-63-4,NS00108593,Name,NA,CAS_RN: 30125-63-4,NA,C7H12ClN5
Desethylterbutylazine,Desethylterbutylazine,30125-63-4,NS00007860,Name,NA,CAS_RN: 30125-63-4,DTXSID80184211,C7H12Cl1N5
Terbutylazine-desethyl,Desethylterbutylazine,30125-63-4,NS00007860,Name,NA,CAS_RN: 30125-63-4,DTXSID80184211,C7H12Cl1N5
Desipramine,Desipramine,50-47-5,NS00010406,Name,NA,CAS_RN: 50-47-5,DTXSID6022896,C18H22N2
Desisobuturyl Ciclesonide,Desisobuturyl Ciclesonide,161115-59-9,NS00040616,Name,NA,CAS_RN: 161115-59-9,NA,C28H38O6
Desisopropyl,Desisopropyl,NA,NA,NA,NA,NA,NA,NA
DESLORATADINE,Desloratadine,100643-71-8,NS00008826,Name,NA,CAS_RN: 100643-71-8,DTXSID1044196,C19H19Cl1N2
Desmedipham,Desmedipham,13684-56-5,NS00000069,Name,NA,CAS_RN: 13684-56-5,DTXSID0034518,C16H16N2O4
Desmethyl-pirimicarb,Desmethyl-pirimicarb,30614-22-3,NS00004616,Name,NA,CAS_RN: 30614-22-3,NA,C10H16N4O2
Desmethyl carbodenafil,Desmethyl carbodenafil,NA,NS00014955,Name,NA,NA,NA,C23H30N6O3
desmethyl diltiazem,desmethyl diltiazem,NA,NA,NA,NA,NA,NA,NA
Desmethyl nefopam,Desmethyl nefopam,46868-19-3,NS00015398,Name,NA,CAS_RN: 46868-19-3,NA,C16H17N1O1
desmethylcitalopram,desmethylcitalopram,62498-67-3,NS00006900,Name,NA,CAS_RN: 62498-67-3,DTXSID90881082,C19H19F1N2O1
Desmethylene tadalafil,Desmethylene Tadalafil,171489-03-5,NS00015867,Name,NA,CAS_RN: 171489-03-5,DTXSID00432069,C21H19N3O4
Norflurazon-desmethyl,Desmethylnorflurazon,23576-24-1,NS00009619,Synonyms_ChemSpider,0,CAS_RN: 23576-24-1,DTXSID1041841,C11H7Cl1F3N3O1
Desmosterol,Desmosterol,313-04-2,NS00005490,Name,NA,CAS_RN: 313-04-2,DTXSID10878676,C27H44O1
Imidacloprid-guanidine,Desnitro-imidacloprid,115970-17-7,NS00000493,Name,NA,CAS_RN: 115970-17-7,DTXSID90436011,C9H11Cl1N4
Desogestrel,Desogestrel,54024-22-5,NS00003854,Name,NA,CAS_RN: 54024-22-5,DTXSID6022898,C22H30O1
Desomorphine,Desomorphine [INN:BAN:DCF],427-00-9,NS00015682,Name_ChemSpider,NA,CAS_RN: 427-00-9,DTXSID10195390,C17H21N1O2
Desonide,Desonide,638-94-8,NS00010533,Name,NA,CAS_RN: 638-94-8,DTXSID7046756,C24H32O6
desoximetasone,Desoximetasone,382-67-2,NS00008529,Name,NA,CAS_RN: 382-67-2,DTXSID3045647,C22H29F1O4
Desoxymetasone,Desoximetasone,382-67-2,NS00008529,Name,NA,CAS_RN: 382-67-2,DTXSID3045647,C22H29F1O4
Desoxyanisoin,Desoxyanisoin,120-44-5,NS00023918,Name,NA,CAS_RN: 120-44-5,DTXSID6074469,C16H16O3
Desoxycarbadox,Desoxycarbadox,55456-55-8,NS00015270,Name,NA,CAS_RN: 55456-55-8,NA,C11H10N4O2
Desoxycodeine C,Desoxycodeine C,1034-48-6,NS00023234,Name,NA,CAS_RN: 1034-48-6,DTXSID10145815,C18H21N1O2
Desoxycorticosterone pivalate,Desoxycorticosterone pivalate,808-48-0,NS00022807,Name,NA,CAS_RN: 808-48-0,DTXSID8046036,C26H38O4
